endTime,artistName,trackName,msPlayed
2022-12-29 11:26,"Tippu, Harini",Unnamata Cheppanivu,280607
2022-12-29 11:28,S. P. Balasubrahmanyam,Kila Kila Navve,3799
2022-12-29 11:28,"Raju, Sunitha",Thara Thaluku Thara,23790
2022-12-29 11:28,S. P. Balasubrahmanyam,Manase Eduru Tirige,39873
2022-12-29 11:30,"Rajesh, Ganga",Nenu Puttindemo,106785
2022-12-29 11:30,Karthik,Naa Manasuki,6643
2022-12-29 11:33,Srinivas,Ye Chilipi,7105
2022-12-29 11:33,Udit Narayan,Emaindhi Eevela,128186
2022-12-29 11:37,"Kumar Sanu, Chitra",Okkasari Cheppaleva,121270
2022-12-29 11:41,"Udit Narayan, Chitra",Radhe Govinda,290153
2022-12-29 11:43,Ranjith Govind,Go Go Goa,64497
2022-12-29 11:43,S. P. Balasubrahmanyam,Aunty Koothura,23
2022-12-29 11:43,"Karthik, Malathi",Naa Pere Kanchanamaala,23
2022-12-29 11:43,"Hari Haran, Chitra",Chinnaga Chinnaga,1322
2022-12-29 11:47,"Mamatha Mohandas, Naveen",Akalesthey,258967
2022-12-29 11:49,L. V. Revanth,Saana Kastam,102229
2022-12-29 11:52,Thaman S,Najabhaja,197914
2022-12-29 11:56,Mani Sharma,Laahe Laahe,247660
2022-12-29 12:02,Sunidhi Chauhan,Sye Raa,328445
2022-12-29 12:05,Mano,Shankerdada M.B.B.S,2091
2022-12-29 12:05,Shankar Mahadevan,Jaago Narasimhaa Jaagore,0
2022-12-29 12:05,Hariharan,You & Me,1480
2022-12-29 12:05,Mano,Jagadeka Veerudu,810
2022-12-29 12:05,Devi Sri Prasad,Ammadu Let's Do Kummudu,208157
2022-12-29 12:07,Mano,Shankerdada M.B.B.S,111937
2022-12-29 12:12,S. P. Balasubrahmanyam,Jai Jai Ganesha,1293
2022-12-29 12:12,Mano,Jagadeka Veerudu,265982
2022-12-29 12:17,Nakash Aziz,Ratthaalu,262240
2022-12-29 12:21,"Adnan Sami, Gopika Poornima",Bhoogolamamntha,239693
2022-12-29 12:23,Shankar Mahadevan,Kodithe Kottali,123402
2022-12-29 12:27,Jaspreet Jasz,Sundari,269289
2022-12-29 12:28,"Adnan Sami, Kalpana",Ye Jilla,800
2022-12-29 12:28,Jassie Gift,Kodi Koora,758
2022-12-29 12:28,Hariharan,Gummadi Gummadi,22667
2022-12-29 12:28,"Hari Haran, Shankar Mahadevan",Bham Bham Bole,1248
2022-12-29 12:30,Partha Sarathy,Bangaram Thechi,0
2022-12-29 12:30,"Udit Narayan, Chitra",Ko Kokodi,154
2022-12-29 12:30,"Udit Narayan, Chitra",Naa Pranama,1240
2022-12-29 12:30,S. P. Balasubrahmanyam,Manasaa Vacha,1543
2022-12-29 12:30,Rajesh,Meesam Unna,473
2022-12-29 12:30,"Chiranjeevi, K.K",Chaila Chaila,1410
2022-12-29 12:30,"Adnan Sami, Kalpana",Ye Jilla,120228
2022-12-29 12:30,Mallikarjun,Paduchu Bangarama,1828
2022-12-29 12:30,S. P. Balasubrahmanyam,Tauba Tauba,1583
2022-12-29 12:30,Jassie Gift,Kodi Koora,1101
2022-12-29 12:30,Udit Narayan,Kaikaluru,135
2022-12-29 12:30,Udit Narayan,Ramma Chilakamma,0
2022-12-29 12:30,S. P. Balasubrahmanyam,Reddu Reddu,0
2022-12-29 12:30,Shankar Mahadevan,Parare Parare,1023
2022-12-29 12:30,S. P. Balasubrahmanyam,Hai Rukku,650
2022-12-29 12:30,"Mano, Chitra",Gappu Chippu,1389
2022-12-29 12:30,Udit Narayan,Ammamma Nee Meesam,1100
2022-12-29 12:30,"Udit Narayan, Chitra",Vana Vana,36
2022-12-29 12:30,Hariharan,Yamaha Nagari,173
2022-12-29 12:30,"Tippu, Sunitha",Manava Manava,392
2022-12-29 12:32,S. P. Balasubrahmanyam,Chekka Chekka Chemma Chekka,2687
2022-12-29 12:32,Udit Narayan,Ramma Chilakamma,72322
2022-12-29 12:32,S. P. Balasubrahmanyam,Reddu Reddu,23
2022-12-29 12:32,Mano,Sorry Sorry,1063
2022-12-29 12:37,S. P. Balasubrahmanyam,Ee Petaku Nene Mestri,298337
2022-12-29 12:37,Hariharan,Thilottama,2665
2022-12-29 12:37,S. P. Balasubrahmanyam,Rajashekara,1893
2022-12-29 12:40,S. P. Balasubrahmanyam,Nadaka Kalisina,197744
2022-12-29 12:43,K. S. Chithra,Yedavaku,0
2022-12-29 12:43,Baba Sehgal,Chick Chiklet,146703
2022-12-29 12:43,S. P. Balasubrahmanyam,Atto Attamma,3032
2022-12-29 12:46,K. S. Chithra,Yedavaku,1454
2022-12-29 12:46,S. P. Balasubrahmanyam,Atto Attamma,200682
2022-12-29 12:51,S. P. Balasubrahmanyam,Chamanthi Puvva Puvva,280293
2022-12-29 12:51,S. P. Balasubrahmanyam,Guruvaa Guruvaa,15079
2022-12-29 12:56,S. P. Balasubrahmanyam,Subhalekha,272277
2022-12-29 12:57,S. P. Balasubrahmanyam,Anjanee Puthruda,59965
2022-12-29 13:00,S. P. Balasubrahmanyam,Papa Rita,215980
2022-12-29 13:00,Santhosh Narayanan,Dhoom Dhaam,1519
2022-12-29 13:00,Adnan Sami,O Madhu,670
2022-12-29 13:00,Prudhvi Chandra,Crazy Feeling,643
2022-12-29 13:00,Nakash Aziz,"Ra Ra Rakkamma (From ""Vikrant Rona"")",1951
2022-12-29 13:00,Mani Sharma,Shuruvaaye,1130
2022-12-29 13:00,Karunya,Vaasava Suhaasa,513
2022-12-29 13:04,Himesh Reshammiya,Rayini Maatram,215681
2022-12-29 13:04,Shankar Mahadevan,Naluguriki,1015
2022-12-29 13:04,Yuvan Shankar Raja,Arere Vaanaa,920
2022-12-29 13:06,Anirudh Ravichander,"Dippam Dappam (Telugu) [From ""Kanmani Rambo Khatija""]",2030
2022-12-29 13:06,Nakash Aziz,MCA,360
2022-12-29 13:06,Annamayya Keerthana,Kondalalo Nelakonna,0
2022-12-29 13:06,Simha Yadgiri,Cinema Choopistha Mama,52488
2022-12-29 13:06,Rahul Sipligunj,"Glassmates (From ""Chitralahari"")",414
2022-12-29 13:06,"S.P.Balasubrahmanyam, Mallikarjun",Ghallu Ghallu,330
